schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
6,6,1,replaced,47.54525908,18.83542809,0.08888888888888889,1,1
7,6,1,same,50.91984497,22.17450084,0.08888888888888889,1,1
3,5,0.8,same,38.11269084,9.358035718,0.08888888888888889,1,1
5,5,0.8,replaced,29.885084,10.26733847,0.08888888888888889,1,1
2,4,0.6000000000000001,same,26.22740557,11.11918442,0.08888888888888889,1,1
9,4,0.6000000000000001,replaced,29.58977965,10.61967136,0.08888888888888889,1,1
1,3,0.4,same,24.40043609,5.181766043,0.08888888888888889,1,1
10,3,0.4,replaced,21.77354907,3.720593243,0.08888888888888889,1,1
4,2,0.2,replaced,12.30300888,4.169477774,0.08888888888888889,1,1
8,2,0.2,same,22.92546818,17.18497774,0.08888888888888889,1,1
6,6,0.9796602703970007,replaced,47.54525908,18.83542809,0.09273181662672128,2,1
7,6,1.021928626069369,same,50.91984497,22.17450084,0.09511516132627576,2,1
3,5,0.8262796741891506,same,38.11269084,9.358035718,0.10164173350594803,2,1
5,5,0.8238312973855251,replaced,29.885084,10.26733847,0.09796916830050983,2,1
2,4,0.6939451944314359,same,26.22740557,11.11918442,0.20314001386937597,2,1
9,4,0.6625624884806783,replaced,29.58977965,10.61967136,0.15606595494323955,2,1
1,3,0.5184418389946004,same,24.40043609,5.181766043,0.23988498071412273,2,1
10,3,0.5081678858830894,replaced,21.77354907,3.720593243,0.22447405104685614,2,1
4,2,0.25197796400261996,replaced,12.30300888,4.169477774,0.14018916822615218,2,1
8,2,0.37668953273086825,same,22.92546818,17.18497774,0.3272565213185245,2,1
6,6,0.9158573011254215,replaced,47.54525908,18.83542809,0.16061672554607354,3,1
7,6,1.021928626069369,same,50.91984497,22.17450084,0.09511516132627576,3,1
3,5,0.8262796741891506,same,38.11269084,9.358035718,0.10164173350594803,3,1
5,5,0.8238312973855251,replaced,29.885084,10.26733847,0.09796916830050983,3,1
2,4,0.6939451944314359,same,26.22740557,11.11918442,0.20314001386937597,3,1
9,4,0.6625624884806783,replaced,29.58977965,10.61967136,0.15606595494323955,3,1
1,3,0.5184418389946004,same,24.40043609,5.181766043,0.23988498071412273,3,1
10,3,0.5081678858830894,replaced,21.77354907,3.720593243,0.22447405104685614,3,1
4,2,0.28301813836177686,replaced,12.30300888,4.169477774,0.1446926792970419,3,1
8,2,0.37668953273086825,same,22.92546818,17.18497774,0.3272565213185245,3,1
6,6,0.9158573011254215,replaced,47.54525908,18.83542809,0.16061672554607354,4,1
7,6,1.021928626069369,same,50.91984497,22.17450084,0.09511516132627576,4,1
3,5,0.8262796741891506,same,38.11269084,9.358035718,0.10164173350594803,4,1
5,5,0.8238312973855251,replaced,29.885084,10.26733847,0.09796916830050983,4,1
2,4,0.6797816224941238,same,26.22740557,11.11918442,0.16344336761453127,4,1
9,4,0.6625624884806783,replaced,29.58977965,10.61967136,0.15606595494323955,4,1
1,3,0.5184418389946004,same,24.40043609,5.181766043,0.23988498071412273,4,1
10,3,0.5081678858830894,replaced,21.77354907,3.720593243,0.22447405104685614,4,1
4,2,0.28301813836177686,replaced,12.30300888,4.169477774,0.1446926792970419,4,1
8,2,0.2165265182382041,same,22.92546818,17.18497774,0.46932408666196335,4,1
6,6,0.7397063630380774,replaced,47.54525908,18.83542809,0.3766581150132677,5,1
7,6,1.0653586982257057,same,50.91984497,22.17450084,0.13172572116289824,5,1
3,5,0.8541131793826132,same,38.11269084,9.358035718,0.11289947124435751,5,1
5,5,0.8480507371485588,replaced,29.885084,10.26733847,0.10490757745490745,5,1
2,4,0.7228559054568182,same,26.22740557,11.11918442,0.17902178177421355,5,1
9,4,0.7153022380190636,replaced,29.58977965,10.61967136,0.18835579276784545,5,1
1,3,0.5637346529712046,same,24.40043609,5.181766043,0.23585870746479223,5,1
10,3,0.5471054885389292,replaced,21.77354907,3.720593243,0.215538239716559,5,1
4,2,0.30534907821578094,replaced,12.30300888,4.169477774,0.13478128528893543,5,1
8,2,0.45529205832202324,same,22.92546818,17.18497774,0.6866751707891031,5,1
6,6,0.7397063630380774,replaced,47.54525908,18.83542809,0.3766581150132677,6,1
7,6,0.9302143918086379,same,50.91984497,22.17450084,0.2949244644396305,6,1
3,5,0.726553203800449,same,38.11269084,9.358035718,0.27036959324429666,6,1
5,5,0.8480507371485588,replaced,29.885084,10.26733847,0.10490757745490745,6,1
2,4,0.7228559054568182,same,26.22740557,11.11918442,0.17902178177421355,6,1
9,4,0.5586094103636323,replaced,29.58977965,10.61967136,0.3668882964206387,6,1
1,3,0.5637346529712046,same,24.40043609,5.181766043,0.23585870746479223,6,1
10,3,0.501685034906328,replaced,21.77354907,3.720593243,0.21900744825049304,6,1
