conN,conVar,Subject
0.41030927840000003,0.03625758888768489,1
0.4623359032997066,0.13305932090956105,1
0.43231208716913894,0.16649508898878412,1
0.395721839735736,0.2063765660578332,1
0.42205063142669574,0.217758836228186,1
0.4055274078091514,0.2072535162176374,1
0.42789745952289776,0.21054291640160266,1
0.4442689704608468,0.2011773549971802,1
0.43763296948110025,0.17421388595723725,1
0.4669228417327436,0.19795085326907658,1
0.48501075590060544,0.19453651095098493,1
0.49819949419776816,0.1820066853551134,1
0.452330916907121,0.23734250286538494,1
0.47700930594202434,0.23923078036211462,1
0.38527776171167083,0.37484771275039863,1
0.3523970758760702,0.3656395418715201,1
0.4568049428860534,0.5013273675171823,1
0.383160686063511,0.5483504076588306,1
0.37284449366425204,0.45931271092558235,1
0.4060987152637625,0.43395861193948676,1
0.3840666864664284,0.3912309471462577,1
0.33117282688545713,0.4187724768789487,1
0.43823822854414896,0.5491487848205425,1
0.49270951722927064,0.5482616052266774,1
0.48636412286202807,0.45130007291582713,1
0.5092864980314014,0.4068848086714082,1
0.4466609378971413,0.45075896720564673,1
0.38687799058006034,0.4801730683986793,1
0.40685537887427115,0.4240932313073651,1
0.3880086097986851,0.37696812319706413,1
0.26638042542857776,0.544830867297866,1
0.17642063053285406,0.6157842836297401,1
0.15760833419841358,0.530252019572673,1
0.15126739278129225,0.436883498492381,1
0.30954812195242243,0.6660682571361651,1
0.3281677206901009,0.570093803184289,1
0.3299741152645984,0.45968783169642624,1
0.3524485034299526,0.4126990416878494,1
0.30440097341480987,0.426254293380565,1
0.19487836443635828,0.5600486526613552,1
0.21015788854058962,0.4785979703375468,1
0.32414772608152104,0.6108580513519003,1
0.37098658299486875,0.5823641549082157,1
0.39114587684752833,0.5062099116318917,1
0.35978586585294425,0.4676879512946815,1
0.3837953096651841,0.4221692486602249,1
0.40943360890253355,0.3890119974028789,1
0.3942749083622651,0.34152699900284006,1
0.33649477542085954,0.38878186508508317,1
0.3607254384719738,0.35948681817029504,1
0.3938982686770152,0.3539351149463189,1
0.3049568271350347,0.46103097504101614,1
0.32947312214094143,0.41785737004462636,1
0.3190660812100749,0.3550999778974342,1
0.30747800617952736,0.3072561323790424,1
0.3169923227694961,0.2648335390831715,1
0.2497066401841389,0.3464381964372516,1
0.17114236389958482,0.4342791097189095,1
0.19750122505137613,0.40014101007871017,1
0.20644375182683608,0.33799786161388806,1
0.41030927840000003,0.03625758888768489,2
0.4667035564132402,0.14179462713662822,2
0.41654412550346287,0.21375456352885716,2
0.4055949434892926,0.19290201485142633,2
0.4254368009157774,0.1940053267341107,2
0.36107120416153254,0.28393545489577826,2
0.30011767517635324,0.3490554218869812,2
0.30597582663949474,0.290960640435868,2
0.2974650337612479,0.24979009810518807,2
0.2860896403270493,0.2225828653525476,2
0.3068250765897021,0.21953716480734367,2
0.3366352190169859,0.23525001670044254,2
0.3130597310269701,0.23535098934038567,2
0.33803209787673255,0.23822552517183343,2
0.35826207098768487,0.23104036635937136,2
0.3231338222317881,0.2550887905992906,2
0.34943505225214233,0.256673492520141,2
0.3121750685996636,0.2798587613210703,2
0.28877862610032434,0.2706798940555347,2
0.329496155868537,0.2979789747808531,2
0.33460982221092056,0.24861051250944968,2
0.2802282083063009,0.30765163781679905,2
