condition,AC,n,prop
familiarity_same,0,235,0.37066246056782337
familiarity_same,0.5,277,0.43690851735015773
familiarity_same,1,122,0.19242902208201892
familiarity_low,0,252,0.4064516129032258
familiarity_low,0.5,253,0.4080645161290323
familiarity_low,1,115,0.18548387096774194
fixed_low,0,255,0.40348101265822783
fixed_low,0.5,254,0.40189873417721517
fixed_low,1,123,0.19462025316455697
payoff_low,0,228,0.42857142857142855
payoff_low,0.5,206,0.38721804511278196
payoff_low,1,98,0.18421052631578946
