conN,conVar,Subject
0.41030927840000003,0.03625758888768489,1
0.4642625367734531,0.13691258785705407,1
0.47497168787012806,0.1309483724789932,1
0.41514481080070154,0.22441245212204763,1
0.4414756009648957,0.2321915420260264,1
0.37066236998001634,0.3273796955905798,1
0.46942097431989055,0.4594209651522123,1
0.38239926117641765,0.5415801984087156,1
0.4318603740353642,0.5321863844448655,1
0.3290079908249526,0.6314538739767157,1
0.21938452141383236,0.724410038003613,1
0.2726905631230414,0.6861401138213086,1
0.2576387990007032,0.5790156193017233,1
0.25972946467873825,0.4673938267974488,1
0.31200018486344927,0.47845650180738103,1
0.3364736263911859,0.4317120845013781,1
0.3606593251895638,0.39374106519785834,1
0.38573483226706085,0.36514386631328083,1
0.3094489030185777,0.44468695154759097,1
0.33614903187959233,0.40914981896010205,1
0.2971408640301611,0.4053361908669441,1
0.21436772046739971,0.48981523981907804,1
0.24015536979214883,0.4434274905047606,1
0.22680382475831945,0.38144508247146724,1
0.1703975486402771,0.41796861821325854,1
0.18974073478325237,0.37306126685655744,1
0.1985491372001941,0.3160658183191294,1
0.2523298906933379,0.3604141616415911,1
0.3583587206479299,0.5003889892224569,1
0.3504926859168697,0.4160432608400859,1
0.29305245894323934,0.4477150626193295,1
0.3185275239142435,0.40912218003747186,1
0.258106944484413,0.4481389028896384,1
0.24414478193416994,0.38643544741219693,1
0.25379295579179234,0.32844470564500233,1
0.17832683949631528,0.4136879971069559,1
0.21224768669824304,0.39879209208942024,1
0.2312882987263074,0.3571148977276649,1
0.2630074581671929,0.3491302370639029,1
0.21637299948360683,0.37257310701829444,1
0.2311032722958402,0.3275190312391023,1
0.2190441459695011,0.28613347764396013,1
0.22401082365875472,0.23884013749367536,1
0.24577101540483573,0.23459249348710234,1
0.2779827017707037,0.25209736752141787,1
0.2845886502072468,0.21488979089022045,1
0.29897774783830644,0.20069002797429572,1
0.22542388099699678,0.3076597560620559,1
0.20843228922083717,0.28011098840196397,1
0.2342873862686839,0.2757989848172646,1
0.23036250122262245,0.2284889579459346,1
0.23080754221827082,0.18368124834804445,1
0.2472798183484012,0.17988955093869632,1
0.21676409803133528,0.2049430813850889,1
0.2388033142649461,0.2080328975752928,1
0.26515617458349094,0.2191320386973239,1
0.31982318626655193,0.28463965432398114,1
0.41030927840000003,0.03625758888768489,2
0.46705239261487397,0.14249229953989584,2
0.4992290477272449,0.17834714985665853,2
0.5021334612140043,0.1484865468588455,2
0.5182127363173641,0.15094778769379605,2
0.4477758065116557,0.2616320897664536,2
0.4194844891153468,0.26588830660578067,2
0.43866609784718535,0.2510738627483016,2
0.37783201162625407,0.3225272626405039,2
0.3668781882185265,0.27992945692785826,2
0.39203640299112763,0.2742599950874888,2
0.3278245262665221,0.34783174951920215,2
0.36213635246689063,0.34688905201609876,2
0.3762951708147294,0.30582887830855654,2
0.3945091384066954,0.28109103783077716,2
0.43388919317235797,0.30363293979594685,2
0.4544991271768617,0.2841262198457649,2
0.3500791334785634,0.4361409632732085,2
0.28274056480504867,0.48358990796559626,2
0.30695357851698574,0.43529795379635117,2
0.19922068153033334,0.5637041570103858,2
0.203153550224555,0.45882906299675197,2
0.09209894089884299,0.5891724690488256,2
0.0829386905406763,0.4896584759553938,2
0.05803561684220561,0.44153292816125644,2
-0.03261247299626667,0.5345225222059498,2
-0.026758127815941845,0.4393267081254094,2
0.0028515916883825945,0.4106808055089764,2
0.14479166094894513,0.6124247829283063,2
0.1854173619533028,0.5711912283513604,2
0.18299994268927314,0.46178782120914763,2
0.19748722181062575,0.39840481521002336,2
0.26230011059664143,0.44834962974005,2
0.2632473800498778,0.3605742426985127,2
0.28618708836989726,0.33433881079884903,2
0.3112428972386622,0.3175826663766091,2
0.2522366403836011,0.3720786468114095,2
0.2785983979144402,0.3503864325108058,2
0.19206632487634814,0.45337329208482874,2
0.22683785348559002,0.43224169088634673,2
0.3696933782932298,0.631504402324357,2
0.36654324397554405,0.5115037904948571,2
0.41857760633279323,0.513271757110384,2
0.4447076175921076,0.4628774282069359,2
0.5163752488343076,0.5136372050499487,2
0.43209067971958554,0.5794789022694031,2
0.4584488031265858,0.5162993686295231,2
0.4863361969705245,0.46881428259149577,2
0.4382905310242714,0.4711427579657027,2
0.4461418308235255,0.3926168059710703,2
0.4516144844885551,0.32503875210691546,2
0.433026905637632,0.2972061593873786,2
0.45610603597575927,0.28392318818615736,2
0.3948507762619664,0.34964906997651163,2
0.32422432063364987,0.4209721672378424,2
0.34582956170752005,0.3799882159380143,2
0.29948550387338296,0.39667868841868564,2
0.41030927840000003,0.03625758888768489,3
0.4648597641094244,0.13810704252899664,3
0.4683657302720343,0.11749756634841704,3
0.4251576999461302,0.18041411373054198,3
0.4513105436247704,0.19663697834171404,3
0.4279162185553521,0.2040982328122078,3
0.4178533536936256,0.1834043159732193,3
0.444178864927652,0.19937447524662824,3
0.3837430980875095,0.2803711138775876,3
0.3212064774843578,0.3493701323083735,3
0.3447870347126521,0.32665722030328737,3
0.39626410945179036,0.3642799257209064,3
0.35394461982707054,0.3760629198261648,3
0.3800049530821106,0.3529710023710119,3
0.41156976227970377,0.34550642029199585,3
0.35228194774995936,0.39498076529308557,3
0.3902598325303086,0.39194038179516694,3
0.3679825039423727,0.35810696261200536,3
0.36903182716005867,0.2885842165249762,3
0.3933128762912463,0.2794294714823562,3
0.39558575045308103,0.2280893255095544,3
0.35814180476508045,0.25735935178364466,3
0.37928923090109196,0.24818233369893875,3
0.39278014333873,0.22552769183442714,3
0.3425604650370564,0.28086151007088894,3
0.367290495849265,0.2741492696811284,3
0.34097491455245993,0.27195057833851277,3
0.28499453123833274,0.3295212292990646,3
0.41114499344134525,0.5159179078452766,3
0.3121797179422146,0.6106648772744826,3
0.37227727212063955,0.608727010176436,3
0.4816618863444215,0.7057508365887127,3
0.5568469919891719,0.7149708805604709,3
0.40221001799079276,0.8812506524451349,3
0.5126344369039882,0.9258493597824989,3
0.4545491861436136,0.8568499893467484,3
0.5424552407427027,0.8612921006755767,3
0.5555399729232547,0.7152031449015654,3
0.5774742403010261,0.6160310506767951,3
0.484065520158166,0.6796422808271563,3
0.5041428263654496,0.5838684370762923,3
0.4469995922981021,0.5813812177957288,3
0.45795028100688,0.4870063516541389,3
0.48385388611777447,0.4414122915451,3
0.5513780097683793,0.48817808053728956,3
0.6517670943395844,0.5913206335722417,3
0.4922917920787264,0.7920071113795092,3
0.5402418551732677,0.72950581529269,3
0.5081709357416508,0.6477464910973858,3
0.5161174152455948,0.5340901518857966,3
0.5309255181323524,0.4568883272821525,3
0.4293352477640194,0.5686912025623881,3
0.32714278658866236,0.6593378844006246,3
0.23999016498211367,0.701775550733597,3
0.41030927840000003,0.03625758888768489,4
0.46199488386318754,0.13237728203652288,4
0.4065401713945483,0.21681125056649686,4
0.35379924705904975,0.2789308491241945,4
0.3761410282612385,0.2678282417037332,4
0.3627677450211017,0.2410091598432602,4
0.3186205530340118,0.28110171184878796,4
0.34497842485040103,0.27759711311180885,4
0.3026890306172959,0.3066564789556574,4
0.2904780848345382,0.26974707473004134,4
0.29212301211177505,0.21908751433850676,4
0.29027531039524007,0.1789654149038754,4
0.277268428986009,0.1691860947415625,4
0.3012839415737396,0.1833799009687112,4
0.26414284806101695,0.22098610780041433,4
0.22624336051153635,0.2525878613392927,4
0.2684270221030488,0.2864376122544591,4
0.24822038406495672,0.26956336587975144,4
0.23526103610568447,0.24156938862234567,4
0.26153815598329766,0.24580975065310287,4
0.30126644461405416,0.27610437778399527,4
0.3600944621077059,0.33853953721449964,4
0.3689442287669413,0.28853116309007043,4
0.32291595290654623,0.3228814821928464,4
0.22822840009018666,0.4476802913869963,4
0.2538548576562206,0.4093971482416649,4
0.11767937843717394,0.5998686770314253,4
0.06526767403856448,0.5847183504223592,4
0.2487928735446294,0.8348250793500172,4
0.2573332567339216,0.6849408298585982,4
0.3124066634184802,0.6580994772559958,4
0.44333671861089985,0.788339692189636,4
0.33856454232622873,0.840216106321051,4
