schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
6,6,0.5,replaced,47.54525908,18.83542809,0,1,1
7,6,0.5,same,50.91984497,22.17450084,0,1,1
3,5,0.5,same,38.11269084,9.358035718,0,1,1
5,5,0.5,replaced,29.885084,10.26733847,0,1,1
2,4,0.5,same,26.22740557,11.11918442,0,1,1
9,4,0.5,replaced,29.58977965,10.61967136,0,1,1
1,3,0.5,same,24.40043609,5.181766043,0,1,1
10,3,0.5,replaced,21.77354907,3.720593243,0,1,1
4,2,0.5,replaced,12.30300888,4.169477774,0,1,1
8,2,0.5,same,22.92546818,17.18497774,0,1,1
6,6,0.5992574578878204,replaced,47.54525908,18.83542809,0.14888618683173058,2,1
7,6,0.5999979223222389,same,50.91984497,22.17450084,0.1499968834833584,2,1
3,5,0.5999573390150861,same,38.11269084,9.358035718,0.14993600852262914,2,1
5,5,0.5995954292530841,replaced,29.885084,10.26733847,0.14939314387962613,2,1
2,4,0.59997579500365394,same,26.22740557,11.11918442,0.14996369250548092,2,1
9,4,0.5999724547473126,replaced,29.58977965,10.61967136,0.14995868212096897,2,1
1,3,0.5998246996794279,same,24.40043609,5.181766043,0.14973704951914185,2,1
10,3,0.5987485161036166,replaced,21.77354907,3.720593243,0.14812277415542485,2,1
4,2,0.596926679925648,replaced,12.30300888,4.169477774,0.14539001988847194,2,1
8,2,0.5995538319874194,same,22.92546818,17.18497774,0.14933074798112914,2,1
6,6,0.5992574578878204,replaced,47.54525908,18.83542809,0.14888618683173058,3,1
7,6,0.5712189154971786,same,50.91984497,22.17450084,0.1481663286759413,3,1
3,5,0.5999573390150861,same,38.11269084,9.358035718,0.14993600852262914,3,1
5,5,0.5995954292530841,replaced,29.885084,10.26733847,0.14939314387962613,3,1
2,4,0.59997579500365394,same,26.22740557,11.11918442,0.14996369250548092,3,1
9,4,0.5999724547473126,replaced,29.58977965,10.61967136,0.14995868212096897,3,1
1,3,0.5998246996794279,same,24.40043609,5.181766043,0.14973704951914185,3,1
10,3,0.5987485161036166,replaced,21.77354907,3.720593243,0.14812277415542485,3,1
4,2,0.5594258319552187,replaced,12.30300888,4.169477774,0.15802428587757433,3,1
8,2,0.5995538319874194,same,22.92546818,17.18497774,0.14933074798112914,3,1
6,6,0.5688835033809735,replaced,47.54525908,18.83542809,0.1497812625424817,4,1
7,6,0.5712189154971786,same,50.91984497,22.17450084,0.1481663286759413,4,1
3,5,0.5999573390150861,same,38.11269084,9.358035718,0.14993600852262914,4,1
5,5,0.5995954292530841,replaced,29.885084,10.26733847,0.14939314387962613,4,1
2,4,0.59997579500365394,same,26.22740557,11.11918442,0.14996369250548092,4,1
9,4,0.5999724547473126,replaced,29.58977965,10.61967136,0.14995868212096897,4,1
1,3,0.5998246996794279,same,24.40043609,5.181766043,0.14973704951914185,4,1
10,3,0.5476408551635811,replaced,21.77354907,3.720593243,0.18034743331885061,4,1
4,2,0.5594258319552187,replaced,12.30300888,4.169477774,0.15802428587757433,4,1
8,2,0.5995538319874194,same,22.92546818,17.18497774,0.14933074798112914,4,1
6,6,0.6161755004844495,replaced,47.54525908,18.83542809,0.17578487943495116,5,1
7,6,0.6786043460907145,same,50.91984497,22.17450084,0.2647945759634627,5,1
3,5,0.6769844206494602,same,38.11269084,9.358035718,0.2204958284174016,5,1
5,5,0.7048541579844936,replaced,29.885084,10.26733847,0.26246329381285255,5,1
2,4,0.6716292196767163,same,26.22740557,11.11918442,0.21245472176343014,5,1
9,4,0.6340661566518303,replaced,29.58977965,10.61967136,0.1561116303414548,5,1
1,3,0.6695751110520776,same,24.40043609,5.181766043,0.20944155172237378,5,1
10,3,0.6405424181817818,replaced,21.77354907,3.720593243,0.26559554785049655,5,1
4,2,0.5804999459800263,replaced,12.30300888,4.169477774,0.14222817115151343,5,1
8,2,0.6702829505500615,same,22.92546818,17.18497774,0.21062520143075344,5,1
6,6,0.6161755004844495,replaced,47.54525908,18.83542809,0.17578487943495116,6,1
7,6,0.5399599409032029,same,50.91984497,22.17450084,0.39332281095569127,6,1
3,5,0.5610476884725121,same,38.11269084,9.358035718,0.3282521781576032,6,1
5,5,0.7048541579844936,replaced,29.885084,10.26733847,0.26246329381285255,6,1
2,4,0.6716292196767163,same,26.22740557,11.11918442,0.21245472176343014,6,1
9,4,0.6340661566518303,replaced,29.58977965,10.61967136,0.1561116303414548,6,1
1,3,0.6695751110520776,same,24.40043609,5.181766043,0.20944155172237378,6,1
10,3,0.560950528268616,replaced,21.77354907,3.720593243,0.30530471836509626,6,1
4,2,0.5804999459800263,replaced,12.30300888,4.169477774,0.14222817115151343,6,1
8,2,0.6702829505500615,same,22.92546818,17.18497774,0.21062520143075344,6,1
6,6,0.6161755004844495,replaced,47.54525908,18.83542809,0.17578487943495116,7,1
7,6,0.5399599409032029,same,50.91984497,22.17450084,0.39332281095569127,7,1
3,5,0.5610476884725121,same,38.11269084,9.358035718,0.3282521781576032,7,1
5,5,0.6510441049627113,replaced,29.885084,10.26733847,0.2644393852016703,7,1
2,4,0.6716292196767163,same,26.22740557,11.11918442,0.21245472176343014,7,1
9,4,0.5939926939046536,replaced,29.58977965,10.61967136,0.1693883353597834,7,1
1,3,0.6695751110520776,same,24.40043609,5.181766043,0.20944155172237378,7,1
10,3,0.560950528268616,replaced,21.77354907,3.720593243,0.30530471836509626,7,1
4,2,0.5804999459800263,replaced,12.30300888,4.169477774,0.14222817115151343,7,1
8,2,0.6702829505500615,same,22.92546818,17.18497774,0.21062520143075344,7,1
6,6,0.6864988272855067,replaced,47.54525908,18.83542809,0.22853440580605172,8,1
7,6,0.5451826434458751,same,50.91984497,22.17450084,0.28316002148299213,8,1
3,5,0.6057966820882581,same,38.11269084,9.358035718,0.2969000151339413,8,1
5,5,0.7618658411657461,replaced,29.885084,10.26733847,0.3513401739457214,8,1
2,4,0.7503014780821143,same,26.22740557,11.11918442,0.2667266928424982,8,1
9,4,0.6755997925210434,replaced,29.58977965,10.61967136,0.2409824826764331,8,1
1,3,0.7040275912685612,same,24.40043609,5.181766043,0.1982878065303871,8,1
10,3,0.616457007303142,replaced,21.77354907,3.720593243,0.29697302140735643,8,1
4,2,0.6038511673629219,replaced,12.30300888,4.169477774,0.13458655188040278,8,1
8,2,0.6955439021599217,same,22.92546818,17.18497774,0.18532906841631774,8,1
6,6,0.6864988272855067,replaced,47.54525908,18.83542809,0.22853440580605172,9,1
7,6,0.3977448597590312,same,50.91984497,22.17450084,0.41936869056836035,9,1
3,5,0.6057966820882581,same,38.11269084,9.358035718,0.2969000151339413,9,1
5,5,0.7618658411657461,replaced,29.885084,10.26733847,0.3513401739457214,9,1
2,4,0.7503014780821143,same,26.22740557,11.11918442,0.2667266928424982,9,1
9,4,0.6755997925210434,replaced,29.58977965,10.61967136,0.2409824826764331,9,1
1,3,0.7040275912685612,same,24.40043609,5.181766043,0.1982878065303871,9,1
10,3,0.5131841931112658,replaced,21.77354907,3.720593243,0.36279033627296375,9,1
4,2,0.45503912521971646,replaced,12.30300888,4.169477774,0.31742864953109007,9,1
8,2,0.6955439021599217,same,22.92546818,17.18497774,0.18532906841631774,9,1
6,6,0.6482952475643312,replaced,47.54525908,18.83542809,0.21727945364599946,10,1
7,6,0.3977448597590312,same,50.91984497,22.17450084,0.41936869056836035,10,1
3,5,0.6057966820882581,same,38.11269084,9.358035718,0.2969000151339413,10,1
5,5,0.8083882912447126,replaced,29.885084,10.26733847,0.31572179688045465,10,1
2,4,0.7503014780821143,same,26.22740557,11.11918442,0.2667266928424982,10,1
9,4,0.6755997925210434,replaced,29.58977965,10.61967136,0.2409824826764331,10,1
1,3,0.7040275912685612,same,24.40043609,5.181766043,0.1982878065303871,10,1
10,3,0.5131841931112658,replaced,21.77354907,3.720593243,0.36279033627296375,10,1
4,2,0.45503912521971646,replaced,12.30300888,4.169477774,0.31742864953109007,10,1
8,2,0.6955439021599217,same,22.92546818,17.18497774,0.18532906841631774,10,1
6,6,0.46486544406647634,replaced,47.54525908,18.83542809,0.42724032279898194,11,1
7,6,0.42923276136104227,same,50.91984497,22.17450084,0.3407899358008689,11,1
3,5,0.6631723193017012,same,38.11269084,9.358035718,0.29389346641392355,11,1
5,5,0.6714871449297742,replaced,29.885084,10.26733847,0.4263569772887257,11,1
2,4,0.85052808513997,same,26.22740557,11.11918442,0.3370485955765323,11,1
9,4,0.7765445303467942,replaced,29.58977965,10.61967136,0.32010484461212935,11,1
1,3,0.7807443433864462,same,24.40043609,5.181766043,0.2538765927480984,11,1
10,3,0.7177311795740083,replaced,21.77354907,3.720593243,0.5607737150851884,11,1
4,2,0.5000669925400392,replaced,12.30300888,4.169477774,0.2897418556522472,11,1
8,2,0.7677066127238891,same,22.92546818,17.18497774,0.23797441373737346,11,1
6,6,0.46486544406647634,replaced,47.54525908,18.83542809,0.42724032279898194,12,1
7,6,0.38311476401808764,same,50.91984497,22.17450084,0.3077299510750402,12,1
3,5,0.6631723193017012,same,38.11269084,9.358035718,0.29389346641392355,12,1
5,5,0.6714871449297742,replaced,29.885084,10.26733847,0.4263569772887257,12,1
2,4,0.7328413445446881,same,26.22740557,11.11918442,0.4124641277964955,12,1
9,4,0.7765445303467942,replaced,29.58977965,10.61967136,0.32010484461212935,12,1
1,3,0.7807443433864462,same,24.40043609,5.181766043,0.2538765927480984,12,1
10,3,0.7177311795740083,replaced,21.77354907,3.720593243,0.5607737150851884,12,1
4,2,0.39326164879573067,replaced,12.30300888,4.169477774,0.36302731457303583,12,1
8,2,0.7677066127238891,same,22.92546818,17.18497774,0.23797441373737346,12,1
6,6,0.46486544406647634,replaced,47.54525908,18.83542809,0.42724032279898194,13,1
7,6,0.38311476401808764,same,50.91984497,22.17450084,0.3077299510750402,13,1
3,5,0.6631723193017012,same,38.11269084,9.358035718,0.29389346641392355,13,1
5,5,0.6714871449297742,replaced,29.885084,10.26733847,0.4263569772887257,13,1
2,4,0.7328413445446881,same,26.22740557,11.11918442,0.4124641277964955,13,1
9,4,0.7960170773211811,replaced,29.58977965,10.61967136,0.2532822116900709,13,1
1,3,0.7807443433864462,same,24.40043609,5.181766043,0.2538765927480984,13,1
10,3,0.7177311795740083,replaced,21.77354907,3.720593243,0.5607737150851884,13,1
4,2,0.39326164879573067,replaced,12.30300888,4.169477774,0.36302731457303583,13,1
8,2,0.7677066127238891,same,22.92546818,17.18497774,0.23797441373737346,13,1
6,6,0.46693857503614694,replaced,47.54525908,18.83542809,0.30217792241379327,14,1
7,6,0.5254651432823347,same,50.91984497,22.17450084,0.4289365346488987,14,1
3,5,0.6643398818360706,same,38.11269084,9.358035718,0.20747677029130063,14,1
5,5,0.773166850253041,replaced,29.885084,10.26733847,0.4509694420870081,14,1
2,4,0.5146844095523488,same,26.22740557,11.11918442,0.6159602919460556,14,1
9,4,0.5982567524142639,replaced,29.58977965,10.61967136,0.47393803554342534,14,1
1,3,0.8059117567676602,same,24.40043609,5.181766043,0.21546473499549,14,1
10,3,0.5530877263525958,replaced,21.77354907,3.720593243,0.6395067803917507,14,1
4,2,0.426437156188676,replaced,12.30300888,4.169477774,0.30388238129054307,14,1
8,2,0.6695859771347628,same,22.92546818,17.18497774,0.3137630429998508,14,1
6,6,0.47985845803523053,replaced,47.54525908,18.83542809,0.2309043701882807,15,1
7,6,0.5254651432823347,same,50.91984497,22.17450084,0.4289365346488987,15,1
3,5,0.6643398818360706,same,38.11269084,9.358035718,0.20747677029130063,15,1
5,5,0.7123365878284411,replaced,29.885084,10.26733847,0.4069240030978055,15,1
2,4,0.5146844095523488,same,26.22740557,11.11918442,0.6159602919460556,15,1
9,4,0.5982567524142639,replaced,29.58977965,10.61967136,0.47393803554342534,15,1
1,3,0.8059117567676602,same,24.40043609,5.181766043,0.21546473499549,15,1
10,3,0.5530877263525958,replaced,21.77354907,3.720593243,0.6395067803917507,15,1
4,2,0.426437156188676,replaced,12.30300888,4.169477774,0.30388238129054307,15,1
