condition,mean_AC,mean_Schema_RT,mean_RT1,mean_performance,mean_schema_payoff
familiarity_same,0.41078125,23.37280447916665,28.11598020833335,31.60625,4.483020833333334
familiarity_low,0.38843635531135534,24.229232957875453,28.65503495993593,31.377057005494507,4.487835393772894
fixed_low,0.39489583333333333,23.49245979166666,28.32777093749999,31.626041666666666,4.4747916666666665
payoff_low,0.3725194597069597,24.360243166208804,82.31840254466407,31.098492445054944,4.611025641025641
