condition,mean_AC,se_AC,mean_Schema_RT,se_Schema_RT,mean_RT1,se_RT1,mean_performance,se_performance,mean_schema_payoff,se_schema_payoff
familiarity_same,0.4166666666666667,0.030228177087917148,21.850199999999983,0.8047516040616288,24.665349999999982,0.9092448387204431,31.658333333333335,1.893026406738212,4.458333333333333,0.13457481234227694
familiarity_low,0.45,0.04073520252982915,22.606091666666668,0.9151434145649037,25.925508333333333,1.1524058757897975,34.141666666666666,1.876028957431843,4.5,0.10116282977781398
fixed_low,0.4125,0.04543285965952512,22.811458333333317,0.6722865747419142,27.609616666666646,1.0652130059137628,31.333333333333332,1.7032390882706,4.475,0.13315503429421938
payoff_low,0.3625,0.04243803532334246,22.313799999999986,0.8810631028306617,105.26210833335651,39.22786425515557,31.84166666666667,1.8886191542874704,5.066666666666666,0.0891808072079918
